,bid,ask,relative spread
557.5,72.21999999999998,72.32999999999997,0.001521964718090618
562.5,72.22,72.33000000000001,0.001521964718090618
567.5,72.22,72.33,0.001521964718090618
572.5,72.219427346432,72.33,0.0015298945554679977
577.5,72.213210003456,72.33,0.0016159893979244544
582.5,72.21000000000001,72.33,0.0016604400166044637
587.5,72.21,72.324382096896,0.001582764253670244
592.5,72.21,72.308873769472,0.0013683134045753209
597.5,72.21000000000001,72.29999999999997,0.0012455885405854741
602.5,72.21,72.294034159104,0.0011630677737416403
607.5,72.21,72.295855932416,0.0011882669256034792
612.5,72.21,72.30267741849602,0.0012826179656234354
617.5,72.21000000000001,72.326636471296,0.0016139342913547143
622.5,72.20999999999998,72.33,0.0016604400166044635
627.5,72.212179760128,72.33000000000003,0.0016302557231631255
